,dataset,split,model_name_or_path,train_roc,val_roc,test_roc,prompt,,,,,
10,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.414798672,"Find molecules that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C9, to reduce the risk of adverse drug reactions and drug-drug interactions due to CYP450-mediated metabolic pathways. Explore various inhibition mechanisms such as blocking active sites or reducing enzyme activity, while considering the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective in this assay?",train,,,,,
11,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.461042877,"Search for compounds that can effectively inhibit Cytochrome P450 (CYP450) enzymes, especially CYP2C9, to minimize the risk of adverse drug events and drug-drug interactions. Investigate inhibition mechanisms like occupying enzyme active sites or weakening enzyme activity, while taking into account the potential for higher side effects due to increased drug concentrations. How effective is this molecule in the assay?",train,,,,,
12,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.445818893,"Identify molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C9, to reduce the likelihood of adverse drug reactions and interactions. Consider mechanisms of inhibition like blocking the active site or reducing enzyme activity, while factoring in the risk of side effects due to elevated blood drug levels. Does this molecule show effectiveness in this assay?",train,,,,,
13,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.545216783,"Investigate molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C9, to lower the risk of negative drug interactions and adverse effects. Focus on inhibition strategies like blocking enzyme active sites or reducing enzyme function, while keeping in mind the possible increase in side effects due to higher drug concentrations. How effective is this molecule in this assay?",train,,,,,
14,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.403665348,"Search for molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, especially CYP2C9, to reduce the risk of adverse drug events and drug interactions. Consider inhibition mechanisms like occupying enzyme active sites or weakening enzyme activity, while also considering the possibility of increased side effects due to elevated drug levels. Is this molecule effective for the assay?",train,,,,,
15,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.470244298,"Find compounds that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C9, to minimize the risk of adverse drug reactions and drug-drug interactions caused by CYP450-mediated metabolism. Focus on mechanisms like active site occupation or enzyme activity reduction, while considering the potential for increased side effects from elevated drug concentrations. Is this molecule effective in this assay?",train,,,,,"Investigate molecules that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, to lower the risk of negative drug interactions and adverse reactions caused by CYP450-driven metabolism. Consider inhibition mechanisms like occupying active sites or suppressing enzyme activity, while being cautious of potential side effects from higher blood concentrations of the drug. Does this molecule demonstrate effectiveness in the assay?"
16,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.493854498,"Identify molecules capable of inhibiting Cytochrome P450 (CYP450) enzymes, particularly CYP2C9, to lower the risk of adverse drug interactions and drug-drug interactions. Explore inhibition mechanisms such as occupying active sites or reducing enzyme activity, while being mindful of the risk of side effects due to higher drug concentrations. How effective is this molecule in this assay?",train,,,,,
17,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.428171249,"Search for molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C9, to reduce the likelihood of adverse drug reactions and interactions. Focus on mechanisms of inhibition like blocking enzyme active sites or weakening enzyme activity, while keeping in mind the potential for increased side effects from higher drug concentrations. Does this molecule demonstrate effectiveness in this assay?",train,0.545216783,,,,
18,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.429058168,"Investigate compounds that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C9, to help reduce the risk of adverse drug interactions and reactions caused by CYP450-mediated metabolism. Focus on inhibition strategies such as blocking the active site or reducing enzyme activity, while considering the possible increase in side effects from elevated drug concentrations. How effective is this molecule in the assay?",train,,,,,
19,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.385417642,"Look for molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, especially CYP2C9, to reduce the risk of adverse drug events and drug-drug interactions. Explore various inhibition mechanisms such as blocking active sites or diminishing enzyme activity, while considering the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective for this assay?",train,,,,,
20,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.454069852,"Find molecules that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C19, to reduce the risk of adverse drug reactions and drug-drug interactions due to CYP450-mediated metabolic pathways. Explore various inhibition mechanisms such as blocking active sites or reducing enzyme activity, while considering the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective in this assay?",train,,,,,
21,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.499468201,"Search for compounds that can effectively inhibit Cytochrome P450 (CYP450) enzymes, especially CYP2C19, to minimize the risk of adverse drug events and drug-drug interactions. Investigate inhibition mechanisms like occupying enzyme active sites or weakening enzyme activity, while taking into account the potential for higher side effects due to increased drug concentrations. How effective is this molecule in the assay?",train,,,,,
22,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.591355769,"Identify molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C19, to help minimize the risk of negative drug interactions and adverse effects caused by CYP450 metabolism. Consider mechanisms like active site binding or reducing enzyme efficiency, while keeping in mind the possibility of elevated side effects due to higher drug levels. How effective is this molecule in this assay?",train,,,,,
23,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.489059489,"Investigate molecules that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C19, to lower the risk of adverse drug reactions and interactions. Focus on inhibition mechanisms such as blocking active sites or suppressing enzyme activity, while considering the potential for side effects due to elevated drug concentrations. Is this molecule effective for this assay?",train,,,,,
24,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.573072343,"Look for compounds capable of inhibiting Cytochrome P450 (CYP450) enzymes, particularly CYP2C19, to help prevent adverse drug reactions and interactions caused by CYP450-mediated metabolic pathways. Examine inhibition mechanisms like occupying enzyme active sites or weakening enzyme activity, while being mindful of the risk of increased side effects due to elevated drug concentrations. Does this molecule demonstrate effectiveness in this assay?",train,,,,,
25,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.426907203,"Find molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C19, to reduce the risk of adverse drug interactions and drug-drug interactions. Focus on various inhibition mechanisms such as blocking active sites or reducing enzyme function, and consider the potential for increased side effects from elevated drug concentrations. How effective is this molecule in this assay?",train,,,,,
26,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.46460356,"Identify compounds capable of inhibiting Cytochrome P450 (CYP450) enzymes, particularly CYP2C19, to lower the risk of adverse drug events and drug-drug interactions. Look into mechanisms of inhibition like active site binding or weakening enzyme activity, while keeping in mind the potential for increased side effects due to higher drug concentrations. Is this molecule effective in this assay?",train,,,,,
27,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.478028072,"Search for molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C19, to reduce the risk of adverse drug reactions and drug interactions caused by CYP450-mediated metabolism. Consider inhibition mechanisms like blocking the active site or diminishing enzyme activity, while considering the possibility of elevated drug concentrations leading to side effects. Does this molecule perform well in this assay?",train,,,,,
28,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.477341733,"Look for molecules that can inhibit Cytochrome P450 (CYP450) enzymes, especially CYP2C19, to reduce the risk of adverse drug interactions and reactions. Focus on inhibition mechanisms like occupying active sites or suppressing enzyme activity, while also considering the potential side effects caused by elevated drug levels. How effective is this molecule in the assay?",train,,,,,
29,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.48380968,"Investigate compounds that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C19, to help reduce the risk of adverse drug interactions and reactions caused by CYP450-mediated metabolism. Focus on inhibition strategies such as blocking the active site or reducing enzyme activity, while considering the possible increase in side effects from elevated drug concentrations. How effective is this molecule in the assay?",train,0.591355769,,,,
30,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.619087722,"Find molecules that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2D6, to reduce the risk of adverse drug reactions and drug-drug interactions due to CYP450-mediated metabolic pathways. Explore various inhibition mechanisms such as blocking active sites or reducing enzyme activity, while considering the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective in this assay?",train,,,,,
31,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.603261492,"Search for compounds that can effectively inhibit Cytochrome P450 (CYP450) enzymes, especially CYP2D6, to minimize the risk of adverse drug events and drug-drug interactions. Investigate inhibition mechanisms like occupying enzyme active sites or weakening enzyme activity, while taking into account the potential for higher side effects due to increased drug concentrations. How effective is this molecule in the assay?",train,,,,,
32,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.596011504,"Identify molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2D6, to help minimize the risk of negative drug interactions and adverse effects caused by CYP450 metabolism. Consider mechanisms like active site binding or reducing enzyme efficiency, while keeping in mind the possibility of elevated side effects due to higher drug levels. How effective is this molecule in this assay?",train,,,,,
33,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.599168156,"Investigate molecules that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2D6, to lower the risk of adverse drug reactions and interactions. Focus on inhibition mechanisms such as blocking active sites or suppressing enzyme activity, while considering the potential for side effects due to elevated drug concentrations. Is this molecule effective for this assay?",train,,,,,
34,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.574619598,"Look for compounds capable of inhibiting Cytochrome P450 (CYP450) enzymes, particularly CYP2D6, to help prevent adverse drug reactions and interactions caused by CYP450-mediated metabolic pathways. Examine inhibition mechanisms like occupying enzyme active sites or weakening enzyme activity, while being mindful of the risk of increased side effects due to elevated drug concentrations. Does this molecule demonstrate effectiveness in this assay?",train,,,,,
35,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.633530409,"Find molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2D6, to reduce the risk of adverse drug interactions and drug-drug interactions. Focus on various inhibition mechanisms such as blocking active sites or reducing enzyme function, and consider the potential for increased side effects from elevated drug concentrations. How effective is this molecule in this assay?",train,,,,,
36,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.596269307,"Identify compounds capable of inhibiting Cytochrome P450 (CYP450) enzymes, particularly CYP2D6, to lower the risk of adverse drug events and drug-drug interactions. Look into mechanisms of inhibition like active site binding or weakening enzyme activity, while keeping in mind the potential for increased side effects due to higher drug concentrations. Is this molecule effective in this assay?",train,,,,,
37,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.5831586,"Search for molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2D6, to reduce the risk of adverse drug reactions and drug interactions caused by CYP450-mediated metabolism. Consider inhibition mechanisms like blocking the active site or diminishing enzyme activity, while considering the possibility of elevated drug concentrations leading to side effects. Does this molecule perform well in this assay?",train,,,,,
38,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.562388285,"Look for molecules that can inhibit Cytochrome P450 (CYP450) enzymes, especially CYP2D6, to reduce the risk of adverse drug interactions and reactions. Focus on inhibition mechanisms like occupying active sites or suppressing enzyme activity, while also considering the potential side effects caused by elevated drug levels. How effective is this molecule in the assay?",train,,,,,
39,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.565272813,"Investigate compounds that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2D6, to help reduce the risk of adverse drug interactions and reactions caused by CYP450-mediated metabolism. Focus on inhibition strategies such as blocking the active site or reducing enzyme activity, while considering the possible increase in side effects from elevated drug concentrations. How effective is this molecule in the assay?",train,0.633530409,,,,
40,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.501666206,"Find molecules that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP3A4, to reduce the risk of adverse drug reactions and drug-drug interactions due to CYP450-mediated metabolic pathways. Explore various inhibition mechanisms such as blocking active sites or reducing enzyme activity, while considering the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective in this assay?",train,,,,,
41,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.576794624,"Search for compounds that can effectively inhibit Cytochrome P450 (CYP450) enzymes, especially CYP3A4, to minimize the risk of adverse drug events and drug-drug interactions. Investigate inhibition mechanisms like occupying enzyme active sites or weakening enzyme activity, while taking into account the potential for higher side effects due to increased drug concentrations. How effective is this molecule in the assay?",train,,,,,
42,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.59970174,"Identify molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP3A4, to help minimize the risk of negative drug interactions and adverse effects caused by CYP450 metabolism. Consider mechanisms like active site binding or reducing enzyme efficiency, while keeping in mind the possibility of elevated side effects due to higher drug levels. How effective is this molecule in this assay?",train,,,,,
43,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.54543128,"Investigate molecules that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP3A4, to lower the risk of adverse drug reactions and interactions. Focus on inhibition mechanisms such as blocking active sites or suppressing enzyme activity, while considering the potential for side effects due to elevated drug concentrations. Is this molecule effective for this assay?",train,,,,0.626,
44,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.627841296,"Look for compounds capable of inhibiting Cytochrome P450 (CYP450) enzymes, particularly CYP3A4, to help prevent adverse drug reactions and interactions caused by CYP450-mediated metabolic pathways. Examine inhibition mechanisms like occupying enzyme active sites or weakening enzyme activity, while being mindful of the risk of increased side effects due to elevated drug concentrations. Does this molecule demonstrate effectiveness in this assay?",train,,,,,
45,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.464343183,"Find molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP3A4, to reduce the risk of adverse drug interactions and drug-drug interactions. Focus on various inhibition mechanisms such as blocking active sites or reducing enzyme function, and consider the potential for increased side effects from elevated drug concentrations. How effective is this molecule in this assay?",train,,,,,
46,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.496897726,"Identify compounds capable of inhibiting Cytochrome P450 (CYP450) enzymes, particularly CYP3A4, to lower the risk of adverse drug events and drug-drug interactions. Look into mechanisms of inhibition like active site binding or weakening enzyme activity, while keeping in mind the potential for increased side effects due to higher drug concentrations. Is this molecule effective in this assay?",train,,,,,
47,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.51759919,"Search for molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP3A4, to reduce the risk of adverse drug reactions and drug interactions caused by CYP450-mediated metabolism. Consider inhibition mechanisms like blocking the active site or diminishing enzyme activity, while considering the possibility of elevated drug concentrations leading to side effects. Does this molecule perform well in this assay?",train,,,,,
48,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.567357084,"Look for molecules that can inhibit Cytochrome P450 (CYP450) enzymes, especially CYP3A4, to reduce the risk of adverse drug interactions and reactions. Focus on inhibition mechanisms like occupying active sites or suppressing enzyme activity, while also considering the potential side effects caused by elevated drug levels. How effective is this molecule in the assay?",train,,,,,
49,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.581198564,"Investigate compounds that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP3A4, to help reduce the risk of adverse drug interactions and reactions caused by CYP450-mediated metabolism. Focus on inhibition strategies such as blocking the active site or reducing enzyme activity, while considering the possible increase in side effects from elevated drug concentrations. How effective is this molecule in the assay?",train,0.627841296,,,,
