,dataset,split,model_name_or_path,train_roc,val_roc,test_roc,prompt,,,
14,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.571156193,Estrogen receptor alpha (ER alpha) is a nuclear hormone receptor that affects gene expression in various tissues through steroid hormone signaling. Does this molecule exhibit toxicity to the estrogen receptor alpha (ER-alpha) signaling pathway?,train,,,
15,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.410768761,"Estrogen receptor alpha (ER alpha) regulates gene expression and cellular differentiation by binding to estrogen response elements (ERE) or interacting with transcription factors like AP-1/c-Jun and c-Fos. Testing on the BG1 cell line, does this molecule act as an agonist for the ER-alpha signaling pathway?",train,,,
16,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.688148261,Estrogen receptor alpha (ER alpha) plays an essential role in regulating gene expression and cellular processes through ligand binding and transcription factor interaction. Does this molecule induce or suppress estrogen receptor alpha (ER-alpha) signaling in this assay?,train,,,
17,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.727272727,"Estrogen receptor alpha (ER alpha) regulates the expression of various genes involved in cellular proliferation and differentiation. Does this molecule activate the estrogen receptor alpha (ER-alpha) signaling pathway, particularly in assays using BG1 cells?",train,,,
18,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.691351434,Estrogen receptor alpha (ER alpha) affects gene regulation and cellular functions through ligand binding and interaction with other transcription factors. Is this molecule effective in modulating the estrogen receptor alpha (ER-alpha) signaling pathway in assays?,train,,,
19,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.528065894,Estrogen receptor alpha (ER alpha) is involved in gene expression regulation and cellular processes in response to steroid hormones. Does this molecule exhibit toxicity or effectiveness in the estrogen receptor alpha (ER-alpha) signaling pathway based on testing?,train,0.727272727,,
20,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.546337754,"Aromatase is a cytochrome P450 monooxygenase that catalyzes the conversion of C19 androgens to C18 estrogens, such as estrone and estradiol. The enzyme carries out three oxidations on C19 androgens. Can this molecule effectively inhibit Aromatase?",train,,,
21,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.563170567,Aromatase catalyzes the conversion of androgens like testosterone into estrogens like estrone. The enzyme also involves a series of oxidative steps. Does this molecule suppress Aromatase activity effectively?,train,,,
22,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.574617724,Aromatase is involved in the transformation of C19 androgens to C18 estrogens through oxidative reactions. Can this molecule inhibit Aromatase activity and prevent the synthesis of estrogens?,train,,,
23,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.523718003,"Aromatase catalyzes the conversion of testosterone and androstenedione into estrone and estradiol. Is this molecule capable of inhibiting Aromatase, thereby affecting estrogen production?",train,,,
24,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.582263242,"Aromatase catalyzes the conversion of C19 androgens to C18 estrogens, involving multiple oxidation steps. Can this molecule block Aromatase activity and reduce estrogen synthesis?",train,,,
25,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.530223029,"Aromatase is responsible for converting androgens to estrogens, impacting various biological processes. Is this molecule toxic to Aromatase or does it block its activity?",train,,,
26,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.596392667,"Aromatase catalyzes the conversion of androgens like testosterone to estrogens, influencing hormonal balance. Does this molecule inhibit Aromatase activity and reduce estrogen production?",train,,,
27,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.588155783,Aromatase converts androgens such as testosterone into estradiol. Does this molecule act as an inhibitor to prevent Aromatase from catalyzing these conversions?,train,,,
28,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.586423925,Aromatase is a key enzyme in the synthesis of estrogens. Can this molecule inhibit Aromatase effectively and reduce the estrogen levels?,train,,,
29,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.562832643,"Aromatase facilitates the conversion of androgens to estrogens, which impacts cellular processes. Is this molecule effective in inhibiting Aromatase and affecting estrogen production?",train,0.596392667,,
30,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.550953864,"Aryl hydrocarbon receptor (AhR) is a ligand-activated transcription factor that helps cells adapt to environmental changes. It plays important roles in immunity, development, and cancer. Does this molecule activate the Aryl hydrocarbon receptor and induce its signaling pathway?",train,,,
31,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.624683668,"The Aryl hydrocarbon receptor (AhR) responds to environmental and metabolic cues, activating transcription by binding to xenobiotic response elements (XRE). Does this molecule activate the AhR pathway, and how does it affect biological processes?",train,,,
32,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.592661086,"Aryl hydrocarbon receptor (AhR) plays a critical role in regulating various biological processes like immunity and metabolism. Upon ligand binding, it translocates into the nucleus and induces transcription. Can this molecule activate AhR effectively?",train,,,
33,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.581857115,"Aryl hydrocarbon receptor (AhR) regulates multiple biological functions such as drug metabolism, cell motility, and immune modulation. Does this molecule act as an agonist for the AhR signaling pathway?",train,,,
34,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.563753163,"Aryl hydrocarbon receptor (AhR) regulates angiogenesis, hematopoiesis, and lipid metabolism by binding to xenobiotic response elements (XRE). Can this molecule activate the AhR signaling pathway and influence these biological processes?",train,,,
35,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.566137824,"The Aryl hydrocarbon receptor (AhR) regulates the expression of genes involved in immunity, development, and metabolism. Is this molecule effective at activating the AhR signaling pathway and affecting these processes?",train,,,
36,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.581662449,"Aryl hydrocarbon receptor (AhR) plays key roles in response to environmental and metabolic changes. Upon ligand binding, it induces transcription and regulates diverse biological functions. Does this molecule activate AhR, and what is its impact on cell metabolism?",train,,,
37,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.612322367,Aryl hydrocarbon receptor (AhR) is crucial in regulating cell adaptation to environmental factors and immune responses. Does this molecule activate the AhR receptor and modulate the expression of genes involved in development and immunity?,train,,,
38,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.516400623,"Aryl hydrocarbon receptor (AhR) induces transcription in response to environmental signals, regulating important biological processes like drug metabolism and immune modulation. Can this molecule inhibit or activate AhR signaling in this assay?",train,,,
39,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.551927195,The Aryl hydrocarbon receptor (AhR) translocates into the nucleus upon ligand binding and regulates various cellular processes such as lipid metabolism and immune responses. Is this molecule capable of activating AhR and influencing these biological functions?,train,0.624683668,,
40,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.592062272,Androgen receptor (AR) is a nuclear hormone receptor that plays a crucial role in prostate cancer and other androgen-related diseases. Does this molecule activate the androgen receptor (AR) signaling pathway in MDA cells?,train,,,
41,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.570865709,The androgen receptor (AR) regulates key biological processes such as metabolism and reproduction. Can this molecule effectively activate the AR signaling pathway in MDA cells?,train,,,
42,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.606943796,Androgen receptor (AR) plays a pivotal role in regulating metabolic and reproductive functions. Does this molecule act as an agonist of the AR signaling pathway in MDA cells?,train,,,
43,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.568367151,Androgen receptor (AR) is critical in androgen-dependent diseases like prostate cancer. Does this molecule disrupt the AR signaling pathway in MDA cells?,train,,,
44,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.646453969,Androgen receptor (AR) is involved in regulating cellular processes through its interaction with steroid hormones. Is this molecule toxic to the AR signaling pathway in MDA cells?,train,,,
45,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.619134565,"Androgen receptor (AR) is central to regulating metabolism, reproduction, and behavior. Can this molecule inhibit or activate the AR signaling pathway in MDA cells?",train,,,
46,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.597333956,"The androgen receptor (AR) is involved in cellular proliferation and differentiation in androgen-dependent diseases. Does this molecule activate the AR signaling pathway, and what is its effect on MDA cells?",train,,,
47,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.653345597,"Endocrine disrupting chemicals (EDCs) can interfere with androgen receptor (AR) signaling, leading to various biological effects. Does this molecule activate or inhibit AR signaling in MDA cells?",train,,,
48,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.613478488,Androgen receptor (AR) plays a role in cell proliferation and differentiation. Can this molecule effectively activate the AR signaling pathway in the MDA cell line?,train,,,
49,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.652769007,"Androgen receptor (AR) regulates various biological processes, including metabolism and immune modulation. Is this molecule capable of modulating the AR signaling pathway in MDA cells?",train,0.653345597,,
50,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.720308376,Androgen receptor (AR) is a nuclear hormone receptor involved in regulating prostate cancer and androgen-related diseases. Does this molecule activate the androgen receptor (AR) signaling pathway?,train,,,
51,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.697944159,The androgen receptor (AR) plays a critical role in cellular processes related to prostate cancer. Can this molecule act as an agonist for the androgen receptor (AR) signaling pathway?,train,,,
52,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.705445201,Endocrine disrupting chemicals (EDCs) can interact with steroid hormone receptors like androgen receptor (AR). Does this molecule activate the AR signaling pathway and influence cellular functions?,train,,,
53,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.72648979,Androgen receptor (AR) is crucial for regulating metabolism and reproduction. Can this molecule activate or inhibit the AR signaling pathway and affect these biological processes?,train,,,
54,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.751632171,"The androgen receptor (AR) plays a role in cellular differentiation and proliferation. Is this molecule toxic to the AR signaling pathway, leading to disruptions in these processes?",train,,,
55,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.496318933,"Androgen receptor (AR) influences cell growth and differentiation, particularly in androgen-dependent diseases. Does this molecule activate the AR signaling pathway and contribute to these processes?",train,,,
56,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.771565495,"Androgen receptor (AR) signaling impacts various functions, including metabolic and reproductive processes. Can this molecule modulate AR signaling, either positively or negatively?",train,,,
57,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.647867759,Androgen receptor (AR) is involved in regulating several biological pathways in prostate cancer and other androgen-related conditions. Is this molecule capable of disrupting or activating the AR signaling pathway?,train,,,
58,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.663078205,Endocrine disrupting chemicals (EDCs) can have significant impacts on AR signaling. Can this molecule effectively activate or inhibit the androgen receptor (AR) pathway in target cells?,train,,,
59,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.731698847,Androgen receptor (AR) activation is important for regulating numerous biological functions. Is this molecule effective in activating the AR signaling pathway in a controlled manner?,train,0.771565495,,
60,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.570939171,The peroxisome proliferator-activated receptor gamma (PPAR??) is a key regulator of glucose and lipid metabolism. Does this molecule activate the PPAR?? signaling pathway?,train,,,
61,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.540608289,"PPAR?? is a nuclear receptor that plays a crucial role in glucose and lipid metabolism. Is this molecule an agonist of the PPAR?? signaling pathway, potentially affecting these metabolic processes?",train,,,
62,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.523479278,PPAR?? is involved in the regulation of metabolic homeostasis and insulin sensitivity. Can this molecule activate the PPAR?? pathway and influence glucose and lipid metabolism?,train,,,
63,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.658088235,The peroxisome proliferator-activated receptor gamma (PPAR??) regulates gene expression involved in glucose and lipid metabolism. Does this molecule enhance or inhibit PPAR?? signaling?,train,,,
64,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.517964572,PPAR?? is a nuclear hormone receptor involved in regulating metabolism. Does this molecule act as an agonist to activate the PPAR?? signaling pathway and impact metabolic functions?,train,,,
65,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.548963904,"The peroxisome proliferator-activated receptors (PPARs) are critical in regulating metabolic pathways. Is this molecule toxic to the PPAR?? signaling pathway, potentially disrupting metabolic balance?",train,,,
66,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.407921123,PPAR?? plays an essential role in regulating lipid and glucose metabolism. Can this molecule effectively activate the PPAR?? signaling pathway to enhance these biological processes?,train,,,
67,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.532085561,The peroxisome proliferator-activated receptor gamma (PPAR??) is involved in regulating glucose and lipid homeostasis. Does this molecule disrupt or activate PPAR?? signaling and how does it affect metabolic functions?,train,,,
68,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.531834893,PPAR?? regulates critical pathways in metabolism and cell differentiation. Is this molecule capable of modulating the PPAR?? signaling pathway effectively?,train,,,
69,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.588736631,The PPAR?? receptor plays an essential role in maintaining metabolic health. Can this molecule modulate the PPAR?? signaling pathway and influence glucose and lipid metabolism?,train,0.658088235,,
70,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.473468798,Oxidative stress is a major factor in diseases like cancer and neurodegeneration. How effectively can this molecule activate the antioxidant response element (ARE) signaling pathway to reduce oxidative stress?,train,,,
71,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.525182974,"Oxidative stress plays a significant role in many health conditions, including cancer and neurodegeneration. Does this molecule serve as an agonist to activate the antioxidant response element (ARE) signaling pathway?",train,,,
72,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.489527157,The antioxidant response element (ARE) signaling pathway is crucial in mitigating oxidative stress. Can this molecule modulate the ARE signaling pathway effectively to reduce oxidative damage?,train,,,
73,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.505826271,"Given the impact of oxidative stress in diseases like cancer and neurodegeneration, how well does this molecule activate the antioxidant response element (ARE) signaling pathway to counteract oxidative stress?",train,,,
74,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.53510208,The antioxidant response element (ARE) signaling pathway plays a key role in combating oxidative stress. Can this molecule enhance the ARE pathway to protect cells from oxidative damage?,train,,,
75,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.515552773,"Oxidative stress contributes significantly to various diseases. Can this molecule disrupt the antioxidant response element (ARE) signaling pathway, potentially impairing its protective effects?",train,,,
76,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.544660054,"With the connection between oxidative stress and diseases like cancer and neurodegeneration, how effectively does this molecule activate the antioxidant response element (ARE) signaling pathway to reduce oxidative stress and its effects?",train,,,
77,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.492681048,Oxidative stress is a central factor in many diseases like cancer and neurodegeneration. Does this molecule activate the antioxidant response element (ARE) signaling pathway to alleviate oxidative damage?,train,,,
78,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.505729969,The antioxidant response element (ARE) signaling pathway is vital for protecting cells against oxidative stress. Can this molecule regulate the ARE pathway to combat oxidative stress-related diseases?,train,,,
79,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.512904468,"Oxidative stress is linked to many diseases. Does this molecule either activate or inhibit the antioxidant response element (ARE) signaling pathway, and how does it influence oxidative stress?",train,0.544660054,,
80,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.459695851,"There are three heat shock transcription factors (HSFs) - HSF-1, HSF-2, and HSF-4 - that regulate the human heat shock response and unfolded protein response (HSR/UPR). Can this molecule activate the heat shock response signaling pathway?",train,,,
81,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.465981013,"The heat shock response signaling pathway involves three heat shock transcription factors (HSFs) - HSF-1, HSF-2, and HSF-4. Does this molecule act as an activator for this pathway?",train,,,
82,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.574059423,"Heat shock transcription factors (HSF-1, HSF-2, and HSF-4) are involved in regulating the human heat shock response/unfolded protein response (HSR/UPR). Does this molecule enhance the activity of the heat shock response signaling pathway?",train,,,
83,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.517185302,"The heat shock response signaling pathway, controlled by heat shock transcription factors (HSFs), plays a crucial role in cellular stress responses. Does this molecule activate the HSF-mediated signaling pathway?",train,,,
84,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.544699367,"HSF-1, HSF-2, and HSF-4 are heat shock transcription factors regulating the heat shock response. Can this molecule modulate the activity of this pathway?",train,,,
85,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.533535513,"The heat shock response involves the transcription factors HSF-1, HSF-2, and HSF-4. Is this molecule toxic to the heat shock response signaling pathway, possibly impairing its function?",train,,,
86,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.582322433,"Three heat shock transcription factors (HSFs) - HSF-1, HSF-2, and HSF-4 - are involved in regulating the unfolded protein response. Does this molecule have a toxic effect on this pathway?",train,,,
87,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.459388186,"There are three key transcription factors (HSF-1, HSF-2, HSF-4) that mediate the heat shock response. Can this molecule inhibit the heat shock response signaling pathway?",train,,,
88,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.56109353,"HSF-1, HSF-2, and HSF-4 mediate the heat shock response and unfolded protein response. Does this molecule activate or inhibit the heat shock response signaling pathway?",train,,,
89,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.607550985,"The heat shock response is regulated by HSF-1, HSF-2, and HSF-4. Can this molecule enhance the heat shock response signaling pathway to assist with stress management in cells?",train,0.607550985,,
90,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.593269231,Enhanced Level of Genome Instability Gene 1 (ELG1; human ATAD5) is a protein that increases in response to DNA damage. Can this molecule effectively influence the levels of ELG1 in this assay?,train,,,
91,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.632734114,"The ELG1 gene, also known as human ATAD5, responds to DNA damage by increasing protein levels. Does this molecule show effectiveness in modulating ELG1 levels in this assay?",train,,,
92,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.546948161,"In response to DNA damage, the Enhanced Level of Genome Instability Gene 1 (ELG1; human ATAD5) protein increases. Is this molecule capable of affecting ELG1 protein levels in this assay?",train,,,
93,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.609155518,ELG1 (human ATAD5) levels rise in response to DNA damage. Can this molecule modulate the expression of ELG1 in this assay?,train,,,
94,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.56722408,Enhanced Level of Genome Instability Gene 1 (ELG1) plays a role in DNA damage response. Does this molecule influence ELG1 activity in the context of this assay?,train,,,
95,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.619732441,ELG1 (ATAD5) is upregulated in response to DNA damage. Can this molecule effectively alter the expression of ELG1 in this assay?,train,,,
96,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.52458194,"The ELG1 protein, part of the DNA damage response, increases following DNA damage. Is this molecule capable of modulating ELG1 levels during the assay?",train,,,
97,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.628386288,Enhanced ELG1 (human ATAD5) protein levels are a response to DNA damage. Does this molecule influence the response of ELG1 in this assay?,train,,,
98,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.643854515,Increased levels of ELG1 (ATAD5) are observed after DNA damage. How effectively can this molecule impact ELG1 levels in the assay?,train,,,
99,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.615719064,DNA damage triggers an increase in ELG1 (human ATAD5) levels. Can this molecule modulate the expression or activity of ELG1 in this assay?,train,0.643854515,,
100,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.566502586,Mitochondrial membrane potential (MMP) is essential for mitochondrial function and ATP production. It is generated through the mitochondrial electron transport chain and can be measured to assess the impact of chemicals on cellular function. Can this molecule disrupt mitochondrial membrane potential (MMP)?,train,,,
101,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.626168457,"Mitochondrial membrane potential (MMP) is crucial for maintaining cellular energy levels, and is impacted by the mitochondrial electron transport chain. Can this molecule decrease the MMP in living cells?",train,,,
102,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.557378679,"Mitochondrial membrane potential (MMP) plays a critical role in ATP synthesis and cellular energy production. Does this molecule affect MMP and, in turn, mitochondrial function?",train,,,
103,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.584079157,Mitochondrial membrane potential (MMP) is a vital indicator of mitochondrial health. Can this molecule disrupt MMP and cause mitochondrial dysfunction?,train,,,
104,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.652496022,Mitochondrial membrane potential (MMP) is key to cellular energy metabolism. Can this molecule influence MMP levels and disrupt cellular processes?,train,,,
105,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.57652148,"Mitochondrial membrane potential (MMP) is regulated by the mitochondrial electron transport chain. How does this molecule impact MMP, and can it cause dysfunction in mitochondrial processes?",train,,,
106,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.552878878,Mitochondrial membrane potential (MMP) is a marker for mitochondrial activity and ATP production. Can this molecule alter the MMP and disrupt mitochondrial function?,train,,,
