,dataset,split,model_name_or_path,train_roc,val_roc,test_roc,prompt,
10,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.499556475,"Aromatase is a cytochrome P450 monooxygenase that catalyzes the conversion of C19 androgens, androst-4-ene-3,17-dione (androstenedione) and testosterone to the C18 estrogens, estrone and estradiol, respectively (PMID: 27702664, PMID: 2848247). Catalyzes three successive oxidations of C19 androgens: two conventional oxidations at C19 yielding 19-hydroxy and 19-oxo/19-aldehyde derivatives, followed by a third oxidative aromatization step that involves C1-beta hydrogen abstraction combined with cleavage of the C10-C19 bond to yield a phenolic A ring and formic acid (PMID: 20385561). Is this molecule effective to this assay?",train,0.499556475
11,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.446466809,"Aryl hydrocarbon receptor is Ligand-activated transcription factor that enables cells to adapt to changing conditions by sensing compounds from the environment, diet, microbiome and cellular metabolism, and which plays important roles in development, immunity and cancer. Upon ligand binding, translocates into the nucleus, where it heterodimerizes with ARNT and induces transcription by binding to xenobiotic response elements (XRE). Regulates a variety of biological processes, including angiogenesis, hematopoiesis, drug and lipid metabolism, cell motility and immune modulation. Can this molecule activate Aryl hydrocarbon receptor?",train,
12,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.434446175,"Aryl hydrocarbon receptor is Ligand-activated transcription factor that enables cells to adapt to changing conditions by sensing compounds from the environment, diet, microbiome and cellular metabolism, and which plays important roles in development, immunity and cancer. Upon ligand binding, translocates into the nucleus, where it heterodimerizes with ARNT and induces transcription by binding to xenobiotic response elements (XRE). Regulates a variety of biological processes, including angiogenesis, hematopoiesis, drug and lipid metabolism, cell motility and immune modulation. Is this molecule toxic to Aryl hydrocarbon receptor?",train,
13,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.539760561,"Aryl hydrocarbon receptor is Ligand-activated transcription factor that enables cells to adapt to changing conditions by sensing compounds from the environment, diet, microbiome and cellular metabolism, and which plays important roles in development, immunity and cancer. Upon ligand binding, translocates into the nucleus, where it heterodimerizes with ARNT and induces transcription by binding to xenobiotic response elements (XRE). Regulates a variety of biological processes, including angiogenesis, hematopoiesis, drug and lipid metabolism, cell motility and immune modulation. Is this molecule effective to this assay?",train,0.539760561
14,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.627289201,"Androgen receptor (AR), a nuclear hormone receptor, plays a critical role in AR-dependent prostate cancer and other androgen related diseases. Endocrine disrupting chemicals (EDCs) and their interactions with steroid hormone receptors like AR may cause disruption of normal endocrine function as well as interfere with metabolic homeostasis, reproduction, developmental and behavioral functions. On the MDA cell, is this molecule agonists of the androgen receptor (AR) signaling pathway?",train,
15,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.624378792,"Androgen receptor (AR), a nuclear hormone receptor, plays a critical role in AR-dependent prostate cancer and other androgen related diseases. Endocrine disrupting chemicals (EDCs) and their interactions with steroid hormone receptors like AR may cause disruption of normal endocrine function as well as interfere with metabolic homeostasis, reproduction, developmental and behavioral functions. On the MDA cell, is this molecule toxic to the androgen receptor (AR) signaling pathway?",train,
16,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.507468219,"Androgen receptor (AR), a nuclear hormone receptor, plays a critical role in AR-dependent prostate cancer and other androgen related diseases. Endocrine disrupting chemicals (EDCs) and their interactions with steroid hormone receptors like AR may cause disruption of normal endocrine function as well as interfere with metabolic homeostasis, reproduction, developmental and behavioral functions. Is this molecule effective to this assay?",train,0.627289201
17,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.754896513,"Androgen receptor (AR), a nuclear hormone receptor, plays a critical role in AR-dependent prostate cancer and other androgen related diseases. Endocrine disrupting chemicals (EDCs) and their interactions with steroid hormone receptors like AR may cause disruption of normal endocrine function as well as interfere with metabolic homeostasis, reproduction, developmental and behavioral functions. Is this molecule agonists of the androgen receptor (AR) signaling pathway?",train,
18,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.757674677,"Androgen receptor (AR), a nuclear hormone receptor, plays a critical role in AR-dependent prostate cancer and other androgen related diseases. Endocrine disrupting chemicals (EDCs) and their interactions with steroid hormone receptors like AR may cause disruption of normal endocrine function as well as interfere with metabolic homeostasis, reproduction, developmental and behavioral functions. Is this molecule toxic to the androgen receptor (AR) signaling pathway?",train,
19,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.593415752,"Androgen receptor (AR), a nuclear hormone receptor, plays a critical role in AR-dependent prostate cancer and other androgen related diseases. Endocrine disrupting chemicals (EDCs) and their interactions with steroid hormone receptors like AR may cause disruption of normal endocrine function as well as interfere with metabolic homeostasis, reproduction, developmental and behavioral functions. Is this molecule effective to this assay?",train,0.757674677
20,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.434993316,"The peroxisome proliferator-activated receptors (PPARs) are lipid-activated transcription factors of the nuclear receptor superfamily with three distinct subtypes namely PPAR alpha, PPAR delta (also called PPAR beta) and PPAR gamma (PPARg). All these subtypes heterodimerize with Retinoid X receptor (RXR) and these heterodimers regulate transcription of various genes. PPAR-gamma receptor (glitazone receptor) is involved in the regulation of glucose and lipid metabolism. Is this molecule agonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway?",train,
21,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.440006684,"The peroxisome proliferator-activated receptors (PPARs) are lipid-activated transcription factors of the nuclear receptor superfamily with three distinct subtypes namely PPAR alpha, PPAR delta (also called PPAR beta) and PPAR gamma (PPARg). All these subtypes heterodimerize with Retinoid X receptor (RXR) and these heterodimers regulate transcription of various genes. PPAR-gamma receptor (glitazone receptor) is involved in the regulation of glucose and lipid metabolism. Is this molecule toxic to the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway?",train,
22,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.554645722,"The peroxisome proliferator-activated receptors (PPARs) are lipid-activated transcription factors of the nuclear receptor superfamily with three distinct subtypes namely PPAR alpha, PPAR delta (also called PPAR beta) and PPAR gamma (PPARg). All these subtypes heterodimerize with Retinoid X receptor (RXR) and these heterodimers regulate transcription of various genes. PPAR-gamma receptor (glitazone receptor) is involved in the regulation of glucose and lipid metabolism. Is this molecule effective to this assay?",train,0.554645722
23,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.524484784,Oxidative stress has been implicated in the pathogenesis of a variety of diseases ranging from cancer to neurodegeneration. The antioxidant response element (ARE) signaling pathway plays an important role in the amelioration of oxidative stress. Is this molecule agonists of antioxidant response element (ARE) signaling pathway?,train,
24,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.529998074,Oxidative stress has been implicated in the pathogenesis of a variety of diseases ranging from cancer to neurodegeneration. The antioxidant response element (ARE) signaling pathway plays an important role in the amelioration of oxidative stress. Is this molecule toxic to antioxidant response element (ARE) signaling pathway?,train,
25,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.548969569,Oxidative stress has been implicated in the pathogenesis of a variety of diseases ranging from cancer to neurodegeneration. The antioxidant response element (ARE) signaling pathway plays an important role in the amelioration of oxidative stress. Is this molecule effective to this assay?,train,0.548969569
26,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.498066104,"There are three heat shock transcription factors (HSFs) (HSF-1, -2, and -4) mediating transcriptional regulation of the human heat shock response/ unfolded protein response (HSR/UPR). Is this molecule activators of the heat shock response signaling pathway?",train,0.498066104
27,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.489231716,"There are three heat shock transcription factors (HSFs) (HSF-1, -2, and -4) mediating transcriptional regulation of the human heat shock response/ unfolded protein response (HSR/UPR). Is this molecule toxic to the heat shock response signaling pathway?",train,
28,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.489231716,"There are three heat shock transcription factors (HSFs) (HSF-1, -2, and -4) mediating transcriptional regulation of the human heat shock response/ unfolded protein response (HSR/UPR). Is this molecule toxic to the heat shock response signaling pathway?",train,
29,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.568018395,Enhanced Level of Genome Instability Gene 1 (ELG1; human ATAD5) protein levels increase in response to various types of DNA damage. Is this molecule effective to this assay?,train,0.568018395
30,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.512281225,"Mitochondrial membrane potential (MMP), one of the parameters for mitochondrial function, is generated by mitochondrial electron transport chain that creates an electrochemical gradient by a series of redox reactions. This gradient drives the synthesis of ATP, a crucial molecule for various cellular processes. Measuring MMP in living cells is commonly used to assess the effect of chemicals on mitochondrial function; decreases in MMP can be detected using lipophilic cationic fluorescent dyes. Can this molecule disrupts the mitochondrial membrane potential?",train,
31,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.503555091,"Mitochondrial membrane potential (MMP), one of the parameters for mitochondrial function, is generated by mitochondrial electron transport chain that creates an electrochemical gradient by a series of redox reactions. This gradient drives the synthesis of ATP, a crucial molecule for various cellular processes. Measuring MMP in living cells is commonly used to assess the effect of chemicals on mitochondrial function; decreases in MMP can be detected using lipophilic cationic fluorescent dyes. Is this molecule toxic by disrupting the mitochondrial membrane potential?",train,0.512281225
32,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.538385044,"Mitochondrial membrane potential (MMP), one of the parameters for mitochondrial function, is generated by mitochondrial electron transport chain that creates an electrochemical gradient by a series of redox reactions. This gradient drives the synthesis of ATP, a crucial molecule for various cellular processes. Measuring MMP in living cells is commonly used to assess the effect of chemicals on mitochondrial function; decreases in MMP can be detected using lipophilic cationic fluorescent dyes. Is this molecule effective to this assay?",train,
33,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.458019598,"p53, a tumor suppressor protein, is activated following cellular insult, including DNA damage and other cellular stresses. The activation of p53 regulates cell fate by inducing DNA repair, cell cycle arrest, apoptosis, or cellular senescence. The activation of p53, therefore, is a good indicator of DNA damage and other cellular stresses. Is this molecule agonists of the p53 signaling pathway?",train,
34,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.569288293,"p53, a tumor suppressor protein, is activated following cellular insult, including DNA damage and other cellular stresses. The activation of p53 regulates cell fate by inducing DNA repair, cell cycle arrest, apoptosis, or cellular senescence. The activation of p53, therefore, is a good indicator of DNA damage and other cellular stresses. Is this molecule effective to this assay?",train,0.569288293
